4/20/2000,Apple Reports Big Profits and 2-for-1 Split,"Apple Computer reports earnings that beat analysts' estimates for its second quarter ended April 1; reports strong demand across its product lines; earnings were $233 million, compared with $135 million in year-earlier quarter; revenue was $1.94 billion, up 27 percent from $1.53 billion a year ago; company announces two-for-one stock split, to take effect on June 21 (M)"
4/25/2000,U.S. Hoping 2 Microsoft Monopolies Are Gentler Than One,"Analysis of Justice Department's tentative proposal that would force Microsoft Corp to break off its industry-standard Windows operating system into one company, and its Office applications software business and most other operations into a second company; says broad idea behind department's plan is to create incentives for increased competition among operating systems and in related businesses; holds one reason Windows has no significant competitors is that Microsoft generally does not create software for non-Windows operating systems, with exception of Apple Computer's; holds Microsoft argues that new application-software company will have no more incentive to write for smaller operating systems than is now the case (M)"
4/6/2000,"Laptops of Luxury, When Price Is an Afterthought","Peter H Lewis reviews Apple PowerBook G3 portable computer, high-end laptop powerful enough to serve as desktop computer replacement; drawing (M)"
4/13/2000,"My Life, My Laptop",Antonio M Rosario letter on Peter H Lewis's Apr 6 review of Apple laptop computer holds machine is faster than rival that uses new Intel chip
4/13/2000,"My Life, My Laptop",Rick Spies letter on Peter H Lewis's Apr 6 review of high-end laptop computers notes Apple version also offers technology that slows computer to conserve battery power
4/2/2000,"As Honeybees Bow Out, Others Join the Cast","Wild honeybee populations are down sharply, devastated by parasitic mites; variety of other bees are helping to fill void as pollinators; photos (Cuttings column) (M)"
4/20/2000,BUSINESS DIGEST," Reports by I.B.M. and Intel Lead to a Slide in Stocks  Disappointment with first-quarter reports from I.B.M. and Intel helped send stocks lower, ending the two-day surge after last week's sell-off. The dot-com stocks that have fallen so sharply recently were down again.    The Nasdaq composite index fell 87.16 points, or 2.3 percent, to 3,706.41, while the Dow Jones industrial average dropped 92.46 points, or 0.9 percent, to 10,674.96. The Standard & Poor's 500-stock index was off 14.1 points, or nearly 1 percent, to 1,427.47. [Page C12.]"
4/9/2000,Food; High Noon,"Molly O'Neill finds that state of American cooking, the ever-enlarging dimensions of supermarkets, even the shape of home kitchens--all owe a debt to suburbs; cites backyard barbecue, and Sunday bruch, as part of suburban tradition; recipes for a suburban brunch; photo (M)a"
4/23/2000,"Paid Notice: Deaths  SCOTT, NEIL","SCOTT-Neil, 65, of Delray Beach, Florida, London, England and New York, NY, passed away on April 20, 2000. Mr. Scott was the beloved husband of Lilian; loving father of Jonathan (Michelle) Scott & Rachel (Henry) Bestritsky; dear brother of Maxine (David) Apple; cherished grandfather of Ariella, Olivia and Daniel. Funeral services will be held on Monday, April 24, 2000 in Florida. In lieu of flowers, memorial contributions may be made to The Dystonia Medical Research Foundation, 312-755-0198."
4/6/2000,Q&A,Question and answer column on computer problems (M)
5/26/2000,Judge Gives Apple Tours Time to Review New Charges,"New York City's Consumer Protection Agency, armed with allegedly new evidence of illegal activity, urges administrative law judge Judith Gould to revoke license of New York Apple Tours, bus company accused of repeatedly violating city, state and federal laws; Gould declines to rule on matter at hearing and gives company additional time to review fresh charges; hears testimony from witness who reportedly saw company double-decker bus strike and kill 71-year-old pedestrian on May 22; photo (M)"
5/16/2000,Apple to Postpone Software Upgrade,"Apple Computer Inc will release its widely anticipated new operating system software early next year and will use edition coming out this summer as additional test version; Apple had originally planned next version of system, Mac OS X, to be final edition, but chief executive Steve Jobs says next update will be public preview 'beta version' and finished product will be introduced in January (S)"
5/24/2000,Top Field Expected,"Japan Airlines Big Apple Classic, to be held July 13-16 at Wykagyl Country Club in New Rochelle, NY, has commitments from top 10 players on this year's Ladies Professional Golf Association money list (S)"
